,#Size, Number, Rc,Unnamed: 3, Rn,    Rn/NTLT    Irr-Num, Irr-Rc, Irr-Rn, Irr-Rn/NTLT
3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.0,2.0,0.001,2.0,0.001,12.0,0.001,12.0,0.004
7,8.0,39.0,0.013000000000000001,39.0,0.013000000000000001,312.0,0.013000000000000001,312.0,0.10400000000000001
9,10.0,76.0,0.025,76.0,0.025,760.0,0.025,760.0,0.254
11,12.0,79.0,0.026000000000000002,79.0,0.026000000000000002,948.0,0.026000000000000002,948.0,0.317
13,14.0,81.0,0.027000000000000003,81.0,0.027000000000000003,1134.0,0.027000000000000003,1134.0,0.379
15,16.0,92.0,0.031,92.0,0.031,1472.0,0.031,1472.0,0.49200000000000005
17,18.0,79.0,0.026000000000000002,79.0,0.026000000000000002,1422.0,0.026000000000000002,1422.0,0.47600000000000003
19,20.0,47.0,0.016,47.0,0.016,940.0,0.016,940.0,0.314
21,22.0,42.0,0.013999999999999999,42.0,0.013999999999999999,924.0,0.013999999999999999,924.0,0.309
23,24.0,26.0,0.009000000000000001,26.0,0.009000000000000001,624.0,0.009000000000000001,624.0,0.209
25,26.0,16.0,0.005,16.0,0.005,416.0,0.005,416.0,0.139
27,28.0,12.0,0.004,12.0,0.004,336.0,0.004,336.0,0.11199999999999999
29,30.0,9.0,0.003,9.0,0.003,270.0,0.003,270.0,0.09
31,32.0,8.0,0.003,8.0,0.003,256.0,0.003,256.0,0.086
33,34.0,1.0,0.0,1.0,0.0,34.0,0.0,34.0,0.011000000000000001
35,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
